AR ,PHILLIPS ,4578 ,  ,  ,327.15 ,264.76 ,591.91 ,04530 ,,
AR ,PIKE ,2169 ,  ,  ,327.15 ,264.76 ,591.91 ,04540 ,,
AR ,POINSETT ,4956 ,  ,  ,327.15 ,264.76 ,591.91 ,04550 ,,
AR ,POLK ,4400 ,  ,  ,327.15 ,264.76 ,591.91 ,04560 ,,
AR ,POPE ,9145 ,22 ,0.24 ,327.15 ,264.76 ,591.91 ,04570 ,,
AR ,PRAIRIE ,1764 ,  ,  ,332.63 ,269.2 ,601.83 ,04580 ,,
AR ,PULASKI ,56276 ,337 ,0.60 ,361.59 ,292.63 ,654.22 ,04590 ,,
AR ,RANDOLPH ,3781 ,  ,  ,327.15 ,264.76 ,591.91 ,04600 ,,
AR ,SAINT FRANCIS ,4698 ,  ,  ,327.15 ,264.76 ,591.91 ,04610 ,,
AR ,SALINE ,9822 ,57 ,0.58 ,368 ,297.82 ,665.82 ,04620 ,,
AR ,SCOTT ,2397 ,  ,  ,327.15 ,264.76 ,591.91 ,04630 ,,
AR ,SEARCY ,2163 ,  ,  ,327.15 ,264.76 ,591.91 ,04640 ,,
AR ,SEBASTIAN ,18892 ,222 ,1.18 ,361.59 ,292.63 ,654.22 ,04650 ,,
AR ,SEVIER ,2492 ,  ,  ,363.49 ,294.17 ,657.66 ,04660 ,,
AR ,SHARP ,5090 ,19 ,0.37 ,327.15 ,264.76 ,591.91 ,04670 ,,
AR ,STONE ,2880 ,  ,  ,327.15 ,264.76 ,591.91 ,04680 ,,
AR ,UNION ,8945 ,11 ,0.12 ,327.15 ,264.76 ,591.91 ,04690 ,,
AR ,VAN BUREN ,4234 ,14 ,0.33 ,327.15 ,264.76 ,591.91 ,04700 ,,
AR ,WASHINGTON ,21796 ,71 ,0.33 ,361.59 ,292.63 ,654.22 ,04710 ,,
AR ,WHITE ,12751 ,44 ,0.35 ,327.15 ,264.76 ,591.91 ,04720 ,,
AR ,WOODRUFF ,1735 ,  ,  ,375.73 ,304.07 ,679.8 ,04730 ,,
AR ,YELL ,4305 ,  ,  ,342.29 ,277.01 ,619.3 ,04740 ,,
AR ,UNDER-11 ,  ,189 ,  ,. ,. ,. ,04xxx ,,
CA ,ALAMEDA ,168345 ,62745 ,37.27 ,423.04 ,342.36 ,765.4 ,05000 ,,
CA ,ALPINE ,160 ,  ,  ,452.29 ,366.04 ,818.33 ,05010 ,,
CA ,AMADOR ,7701 ,1081 ,14.04 ,351.24 ,284.25 ,635.49 ,05020 ,,
CA ,BUTTE ,38845 ,681 ,1.75 ,340.57 ,275.62 ,616.19 ,05030 ,,
CA ,CALAVERAS ,9094 ,728 ,8.01 ,366.89 ,296.93 ,663.82 ,05040 ,,
CA ,COLUSA ,3119 ,54 ,1.73 ,362.9 ,293.7 ,656.6 ,05050 ,,
CA ,CONTRA COSTA ,130070 ,53585 ,41.20 ,431.43 ,349.15 ,780.58 ,05060 ,,
CA ,DEL NORTE ,4859 ,35 ,0.72 ,341.04 ,276.01 ,617.05 ,05070 ,,
CA ,EL DORADO ,27179 ,5917 ,21.77 ,361.59 ,292.63 ,654.22 ,05080 ,,
CA ,FRESNO ,100351 ,20109 ,20.04 ,361.59 ,292.63 ,654.22 ,05090 ,,
CA ,GLENN ,4223 ,38 ,0.90 ,337.13 ,272.84 ,609.97 ,05100 ,,
CA ,HUMBOLDT ,21334 ,138 ,0.65 ,329.72 ,266.85 ,596.57 ,05110 ,,
CA ,IMPERIAL ,20304 ,396 ,1.95 ,332.64 ,269.2 ,601.84 ,05120 ,,
CA ,INYO ,3722 ,53 ,1.42 ,340.31 ,275.41 ,615.72 ,05130 ,,
CA ,KERN ,85081 ,27004 ,31.74 ,389.37 ,315.12 ,704.49 ,05140 ,,
CA ,KINGS ,12354 ,794 ,6.43 ,333.52 ,269.91 ,603.43 ,05150 ,,
CA ,LAKE ,13226 ,879 ,6.65 ,437.75 ,354.27 ,792.02 ,05160 ,,
CA ,LASSEN ,4204 ,62 ,1.47 ,348.35 ,281.92 ,630.27 ,05170 ,,
CA ,LOS ANGELES ,1087002 ,362846 ,33.38 ,449.48 ,363.77 ,813.25 ,05200 ,,
CA ,LOS ANGELES ,  ,  ,  ,449.48 ,363.77 ,813.25 ,05210 ,,
CA ,MADERA ,20288 ,4168 ,20.54 ,361.59 ,292.63 ,654.22 ,05300 ,,
CA ,MARIN ,38380 ,12764 ,33.26 ,392.04 ,317.28 ,709.32 ,05310 ,,
CA ,MARIPOSA ,3457 ,220 ,6.36 ,340.93 ,275.92 ,616.85 ,05320 ,,
CA ,MENDOCINO ,15478 ,407 ,2.63 ,354.11 ,286.58 ,640.69 ,05330 ,,
CA ,MERCED ,22911 ,394 ,1.72 ,353.58 ,286.15 ,639.73 ,05340 ,,
CA ,MODOC ,1930 ,18 ,0.93 ,327.15 ,264.76 ,591.91 ,05350 ,,
CA ,MONO ,1064 ,23 ,2.16 ,356.99 ,288.91 ,645.9 ,05360 ,,
CA ,MONTEREY ,45559 ,495 ,1.09 ,392.14 ,317.36 ,709.5 ,05370 ,,
CA ,NAPA ,22759 ,6718 ,29.52 ,418.21 ,338.46 ,756.67 ,05380 ,,
CA ,NEVADA ,17763 ,1882 ,10.60 ,346.5 ,280.42 ,626.92 ,05390 ,,
CA ,ORANGE ,328268 ,119924 ,36.53 ,425.24 ,344.15 ,769.39 ,05400 ,,
CA ,PLACER ,45329 ,20772 ,45.82 ,361.59 ,292.63 ,654.22 ,05410 ,,
CA ,PLUMAS ,4383 ,204 ,4.65 ,394.45 ,319.23 ,713.68 ,05420 ,,
CA ,RIVERSIDE ,236569 ,102290 ,43.24 ,414.49 ,335.45 ,749.94 ,05430 ,,
CA ,SACRAMENTO ,171318 ,68041 ,39.72 ,367.16 ,297.14 ,664.3 ,05440 ,,
CA ,SAN BENITO ,5152 ,206 ,4.00 ,363.8 ,294.42 ,658.22 ,05450 ,,
CA ,SAN BERNARDINO ,191058 ,82241 ,43.05 ,413.55 ,334.69 ,748.24 ,05460 ,,
CA ,SAN DIEGO ,365264 ,141491 ,38.74 ,378.27 ,306.13 ,684.4 ,05470 ,,
CA ,SAN FRANCISCO ,124703 ,35845 ,28.74 ,400.14 ,323.84 ,723.98 ,05480 ,,
CA ,SAN JOAQUIN ,76444 ,15033 ,19.67 ,361.59 ,292.63 ,654.22 ,05490 ,,
CA ,SAN LUIS OBISPO ,41815 ,4196 ,10.03 ,327.15 ,264.76 ,591.91 ,05500 ,,
CA ,SAN MATEO ,97224 ,32403 ,33.33 ,376.55 ,304.75 ,681.3 ,05510 ,,
CA ,SANTA BARBARA ,58322 ,10441 ,17.90 ,361.59 ,292.63 ,654.22 ,05520 ,,
CA ,SANTA CLARA ,186790 ,65644 ,35.14 ,386.44 ,312.74 ,699.18 ,05530 ,,
CA ,SANTA CRUZ ,29815 ,4048 ,13.58 ,370.49 ,299.84 ,670.33 ,05540 ,,
CA ,SHASTA ,36069 ,274 ,0.76 ,463.56 ,375.16 ,838.72 ,05550 ,,
CA ,SIERRA ,701 ,11 ,1.57 ,345.12 ,279.31 ,624.43 ,05560 ,,
CA ,SISKIYOU ,10299 ,116 ,1.13 ,340.06 ,275.21 ,615.27 ,05570 ,,
CA ,SOLANO ,46629 ,16718 ,35.85 ,388.44 ,314.37 ,702.81 ,05580 ,,
CA ,SONOMA ,67311 ,19944 ,29.63 ,371.87 ,300.95 ,672.82 ,05590 ,,
CA ,STANISLAUS ,62092 ,21928 ,35.32 ,393.96 ,318.83 ,712.79 ,05600 ,,
CA ,SUTTER ,12448 ,325 ,2.61 ,353.96 ,286.46 ,640.42 ,05610 ,,
CA ,TEHAMA ,10263 ,137 ,1.33 ,357.24 ,289.11 ,646.35 ,05620 ,,
CA ,TRINITY ,3220 ,46 ,1.43 ,406.58 ,329.05 ,735.63 ,05630 ,,
CA ,TULARE ,45737 ,807 ,1.76 ,361.59 ,292.63 ,654.22 ,05640 ,,
CA ,TUOLUMNE ,11889 ,597 ,5.02 ,360.08 ,291.42 ,651.5 ,05650 ,,
